CBD,LAT,LON,ICE,SFC
215.75,-81.540298,147.103897,1736,2203
216,-81.528107,147.241806,1756,2187
216.25,-81.5186,147.378403,1764,2169
216.5,-81.506302,147.516403,1803,2170
216.75,-81.496796,147.648895,1772,2169
217,-81.484497,147.786896,1736,2163
217.25,-81.475006,147.9207,1547,2159
217.5,-81.462799,148.058701,1781,2152
217.75,-81.449203,148.209106,1941,2147
218,-81.439697,148.341599,1930,2142
218.25,-81.427399,148.472794,1581,2113
218.5,-81.4151,148.608093,1655,2095
218.75,-81.405594,148.739197,1764,2074
219,-81.390594,148.873199,1723,2073
219.25,-81.381104,149.001602,1581,2052
219.5,-81.3703,149.141006,1710,2012
219.75,-81.355301,149.270905,1765,1990
220,-81.344406,149.422607,1787,1971
220.25,-81.332199,149.560699,1764,1959
220.5,-81.322693,149.706894,1721,1930
220.75,-81.307693,149.835495,1786,1910
221,-81.295395,149.970795,1847,1894
221.25,-81.283203,150.099304,1744,1875
221.5,-81.272293,150.225006,1727,1856
221.75,-81.258698,150.364502,1790,1841
222.5,-81.220596,150.759705,1519,1818
223.75,-81.160706,151.381607,1511,1696
224,-81.147095,151.508698,1575,1642
224.5,-81.121201,151.7659,1233,1604
224.75,-81.104904,151.887695,1343,1597
225,-81.092697,152.021698,1321,1567
225.25,-81.080399,152.141998,1546,1513
227,-80.9879,153.044907,1094,1377
227.25,-80.978394,153.177399,1033,1332
227.5,-80.964798,153.304703,954,1288
228.25,-80.929504,153.671097,1717,1165
228.5,-80.915802,153.790207,1627,1126
228.75,-80.900894,153.912003,1827,1094
229,-80.888596,154.036499,1586,1068
229.25,-80.875,154.158295,1230,1034
229.5,-80.860107,154.281494,1274,1004
229.75,-80.849197,154.390793,1271,962
230,-80.835602,154.513901,1182,919
230.25,-80.822006,154.627502,1293,866
231.75,-80.744507,155.336197,9999,585
238.5,-80.393799,158.561096,1266,40
238.75,-80.381897,158.681396,1250,29
239,-80.372498,158.8004,1180,17
239.25,-80.364502,158.922302,1084,18
239.5,-80.355103,159.030396,1137,34
239.75,-80.345795,159.150894,809,59
240,-80.335007,159.266006,1042,75
240.25,-80.322906,159.392105,862,77
240.5,-80.313507,159.504395,862,75
240.75,-80.304199,159.623505,951,74
241,-80.292007,159.744095,907,66
241.25,-80.281296,159.854996,781,48
241.5,-80.270493,159.968704,736,42
241.75,-80.259705,160.0811,694,48
242,-80.248993,160.200195,705,61
242.25,-80.238205,160.309799,725,25
242.5,-80.228897,160.431702,651,24
242.75,-80.216705,160.542694,667,18
243,-80.205902,160.655106,654,50
243.25,-80.196503,160.770096,626,47
243.5,-80.187195,160.879593,625,53
243.75,-80.180496,160.996002,634,50
244,-80.173904,161.119202,606,46
244.25,-80.168594,161.235504,577,41
244.5,-80.162003,161.365494,558,38
244.75,-80.152603,161.486099,571,41
245,-80.144501,161.598297,554,34
245.25,-80.137894,161.7229,553,32
245.5,-80.129898,161.842102,549,31
245.75,-80.121902,161.947495,547,33
246,-80.115204,162.061096,539,40
246.25,-80.108597,162.181595,542,44
246.5,-80.101898,162.308899,522,49
246.75,-80.093903,162.433502,534,44
247,-80.085907,162.543106,536,58
247.25,-80.079193,162.662201,512,78
247.5,-80.069794,162.779999,556,84
247.75,-80.063202,162.886795,521,69
248,-80.055099,163.007294,497,51
248.25,-80.048492,163.122299,509,49
248.5,-80.040497,163.2388,502,49
248.75,-80.032394,163.353806,496,43
249,-80.025803,163.479797,493,39
249.25,-80.016403,163.592102,485,35
249.5,-80.007004,163.703201,499,39
249.75,-80.000305,163.816803,462,44
250,-79.989502,163.923706,490,43
250.25,-79.980103,164.034698,429,58
250.5,-79.972107,164.145599,516,51
250.75,-79.964096,164.264801,469,58
251,-79.954605,164.374405,470,51
251.25,-79.945206,164.496399,497,55
251.5,-79.935806,164.604599,503,47
251.75,-79.926407,164.710098,480,34
252,-79.912903,164.799301,483,32
252.25,-79.893799,164.859695,438,28
252.5,-79.874695,164.891296,455,28
252.75,-79.852905,164.9189,428,28
253,-79.833801,164.9505,422,36
255,-79.664505,165.165207,366,21
255.25,-79.6427,165.198196,387,20
255.5,-79.622192,165.224304,377,22
255.75,-79.6017,165.248993,380,25
256,-79.578506,165.268295,374,32
256.25,-79.556702,165.286194,384,36
256.5,-79.534805,165.306793,393,35
256.75,-79.515701,165.323303,387,37
257,-79.4953,165.343903,396,39
257.25,-79.474792,165.369904,402,39
257.5,-79.4543,165.393204,409,33
257.75,-79.432495,165.419403,394,35
258,-79.412003,165.442703,388,43
258.25,-79.388794,165.463303,382,48
258.5,-79.368301,165.477005,395,41
258.75,-79.347794,165.501602,396,40
259,-79.3246,165.522202,423,36
259.25,-79.304092,165.542801,413,35
259.5,-79.2836,165.559204,415,34
259.75,-79.263199,165.576996,424,43
260,-79.240005,165.593399,418,45
260.25,-79.219498,165.607101,434,44
260.5,-79.194901,165.626297,432,40
260.75,-79.173004,165.642807,446,43
261,-79.152496,165.663193,484,44
261.5,-79.110199,165.701508,470,49
261.75,-79.088303,165.717896,483,52
