CBD_New,LAT,LON,THK,SRF
307,-83.5056,-165.254501,9999,9999
308,-83.522003,-165.053802,9999,9999
309,-83.537094,-164.879196,9999,9999
310,-83.553604,-164.689606,9999,9999
311,-83.570099,-164.510895,9999,9999
312,-83.585205,-164.319901,9999,9999
313,-83.602997,-164.1082,9999,9999
314,-83.618103,-163.911697,9999,9999
315,-83.631805,-163.719299,9999,9999
316,-83.6483,-163.514496,9999,9999
317,-83.660599,-163.327606,9999,9999
318,-83.674301,-163.131104,9999,9999
319,-83.690796,-162.927597,9999,9999
320,-83.704498,-162.736603,9999,9999
321,-83.716904,-162.507004,9999,9999
322,-83.729202,-162.295395,9999,9999
323,-83.741592,-162.064499,9999,9999
324,-83.752502,-161.847397,9999,9999
325,-83.767593,-161.627502,9999,9999
326,-83.779999,-161.410294,9999,9999
327,-83.789597,-161.186295,9999,9999
328,-83.801895,-160.969193,9999,9999
329,-83.815598,-160.747894,9999,9999
330,-83.828003,-160.486694,9999,9999
331,-83.839005,-160.275101,9999,9999
332,-83.851303,-160.059296,9999,9999
333,-83.860901,-159.839401,9999,9999
334,-83.869095,-159.630493,9999,9999
335,-83.880096,-159.406494,9999,9999
336,-83.886993,-159.194794,9999,9999
337,-83.896606,-158.998306,9999,9999
338,-83.901993,-158.808594,9999,9999
339,-83.910294,-158.580505,9999,9999
340,-83.9198,-158.392197,9999,9999
341,-83.928101,-158.201096,9999,9999
342,-83.936295,-158.011505,9999,9999
343,-83.941803,-157.830093,9999,9999
344,-83.948593,-157.643097,9999,9999
345,-83.952698,-157.467194,9999,9999
346,-83.959595,-157.280197,9999,9999
347,-83.967804,-157.091995,9999,9999
348,-83.973297,-156.896805,9999,9999
349,-83.975998,-156.703003,9999,9999
350,-83.982895,-156.5298,9999,9999
351,-83.9897,-156.3526,9999,9999
352,-83.995193,-156.1698,9999,9999
353,-84.001999,-155.988403,9999,9999
354,-84.008896,-155.801498,9999,9999
355,-84.013,-155.614502,9999,9999
356,-84.018494,-155.435806,9999,9999
357,-84.025299,-155.236603,9999,9999
358,-84.032196,-155.048294,9999,9999
359,-84.036301,-154.860001,9999,9999
360,-84.040405,-154.675797,9999,9999
361,-84.047195,-154.486206,9999,9999
362,-84.052704,-154.297897,9999,9999
363,-84.055405,-154.104095,9999,9999
364,-84.059494,-153.906204,9999,9999
365,-84.066406,-153.716599,9999,9999
366,-84.067703,-153.517303,9999,9999
367,-84.076004,-153.334503,9999,9999
368,-84.078705,-153.151794,9999,9999
369,-84.084198,-152.948395,9999,9999
370,-84.086899,-152.761505,9999,9999
371,-84.095093,-152.580002,9999,9999
372,-84.096497,-152.376694,9999,9999
373,-84.103302,-152.195297,9999,9999
374,-84.104706,-152.007004,9999,9999
375,-84.111496,-151.789902,9999,9999
376,-84.115601,-151.608505,9999,9999
377,-84.123795,-151.424301,9999,9999
378,-84.127899,-151.241592,9999,9999
379,-84.134796,-151.065704,9999,9999
380,-84.140305,-150.870499,9999,9999
381,-84.147095,-150.6754,9999,9999
382,-84.152603,-150.494003,9999,9999
383,-84.156693,-150.308502,9999,9999
384,-84.163498,-150.103699,9999,9999
385,-84.170395,-149.910004,9999,9999
386,-84.1745,-149.732697,9999,9999
387,-84.1772,-149.543106,9999,9999
388,-84.179901,-149.352097,9999,9999
389,-84.185394,-149.169296,9999,9999
390,-84.189499,-148.975601,9999,9999
391,-84.195007,-148.803802,9999,9999
392,-84.197693,-148.615601,9999,9999
393,-84.205902,-148.412201,9999,9999
394,-84.210007,-148.236298,9999,9999
395,-84.214096,-148.031601,9999,9999
396,-84.2155,-147.851593,9999,9999
397,-84.220993,-147.664703,9999,9999
398,-84.225098,-147.486099,9999,9999
399,-84.227798,-147.285507,9999,9999
400,-84.233307,-147.105499,9999,9999
401,-84.238693,-146.924103,9999,9999
402,-84.242798,-146.722198,9999,9999
403,-84.242798,-146.532501,9999,9999
404,-84.246902,-146.322296,9999,9999
405,-84.249603,-146.136795,9999,9999
406,-84.253799,-145.954102,9999,9999
407,-84.2565,-145.756195,9999,9999
408,-84.259201,-145.561096,9999,9999
409,-84.263306,-145.376999,9999,9999
410,-84.267395,-145.184692,9999,9999
411,-84.268799,-144.968903,9999,9999
412,-84.2742,-144.760101,9999,9999
413,-84.2742,-144.567703,9999,9999
414,-84.278305,-144.378204,9999,9999
415,-84.283798,-144.177597,9999,9999
416,-84.283798,-143.975601,9999,9999
417,-84.287903,-143.768204,9999,9999
418,-84.2892,-143.5634,9999,9999
419,-84.291901,-143.369797,9999,9999
420,-84.293304,-143.152695,9999,9999
421,-84.296005,-142.959,9999,9999
422,-84.298798,-142.747406,9999,9999
423,-84.301498,-142.530304,9999,9999
424,-84.305603,-142.321503,9999,9999
425,-84.3069,-142.119598,9999,9999
426,-84.312393,-141.890198,9999,9999
427,-84.313797,-141.678604,9999,9999
428,-84.317902,-141.473907,9999,9999
429,-84.323303,-141.229401,9999,9999
430,-84.323303,-141.019196,9999,9999
431,-84.327393,-140.799393,9999,9999
432,-84.331497,-140.594696,9999,9999
433,-84.334198,-140.362503,9999,9999
434,-84.338303,-140.145493,9999,9999
435,-84.341003,-139.938095,9999,9999
436,-84.3452,-139.718307,9999,9999
437,-84.3479,-139.506699,9999,9999
438,-84.352005,-139.253998,9999,9999
439,-84.352005,-139.053406,9999,9999
440,-84.353302,-138.832199,9999,9999
441,-84.358795,-138.612503,9999,9999
442,-84.358795,-138.403702,9999,9999
443,-84.365601,-138.190796,9999,9999
444,-84.365601,-137.976501,9999,9999
445,-84.366898,-137.748505,9999,9999
446,-84.372406,-137.546494,9999,9999
447,-84.373795,-137.313004,9999,9999
448,-84.377899,-137.097397,9999,9999
449,-84.377808,-136.894104,9999,9999
450,-84.381897,-136.673004,9999,9999
451,-84.381897,-136.457306,9999,9999
452,-84.383301,-136.240295,9999,9999
453,-84.386002,-136.038406,9999,9999
454,-84.388702,-135.814499,9999,9999
455,-84.390106,-135.605698,9999,9999
456,-84.390106,-135.380493,9999,9999
457,-84.392807,-135.151093,9999,9999
458,-84.394104,-134.929993,9999,9999
459,-84.398193,-134.723999,9999,9999
460,-84.399597,-134.494598,9999,9999
461,-84.400894,-134.289902,9999,9999
462,-84.400894,-134.071594,9999,9999
463,-84.400894,-133.849106,9999,9999
464,-84.400894,-133.649902,9999,9999
465,-84.404999,-133.413696,9999,9999
466,-84.404999,-133.184296,9999,9999
467,-84.404907,-132.978302,9999,9999
468,-84.406296,-132.761398,9999,9999
469,-84.406296,-132.537506,9999,9999
470,-84.406204,-132.313599,9999,9999
471,-84.408997,-132.121399,9999,9999
472,-84.406204,-131.885193,9999,9999
473,-84.406204,-131.675095,9999,9999
474,-84.4048,-131.451202,9999,9999
475,-84.4048,-131.216293,9999,9999
476,-84.400604,-131.011703,9999,9999
477,-84.3992,-130.775497,9999,9999
478,-84.397797,-130.579193,9999,9999
479,-84.3992,-130.362198,9999,9999
480,-84.397797,-130.126007,9999,9999
481,-84.395004,-129.917297,9999,9999
482,-84.392303,-129.707108,9999,9999
483,-84.392197,-129.470901,9999,9999
484,-84.389496,-129.247101,9999,9999
485,-84.388107,-129.026001,9999,9999
486,-84.3853,-128.810501,9999,9999
487,-84.3853,-128.607193,9999,9999
488,-84.382507,-128.372406,9999,9999
489,-84.381104,-128.175995,9999,9999
490,-84.381104,-127.960403,9999,9999
491,-84.375595,-127.739395,9999,9999
492,-84.372803,-127.525208,9999,9999
493,-84.371399,-127.311005,9999,9999
494,-84.365906,-127.104996,9999,9999
495,-84.364502,-126.8853,9999,9999
496,-84.360397,-126.686203,9999,9999
497,-84.357605,-126.476105,9999,9999
498,-84.356201,-126.257797,9999,9999
499,-84.350693,-126.050507,9999,9999
500,-84.349304,-125.830795,9999,9999
501,-84.346497,-125.604202,9999,9999
502,-84.341003,-125.399704,9999,9999
503,-84.336899,-125.175797,9999,9999
504,-84.335495,-124.964401,9999,9999
505,-84.332703,-124.750198,9999,9999
506,-84.325897,-124.534698,9999,9999
507,-84.324493,-124.3246,9999,9999
508,-84.319,-124.106293,9999,9999
509,-84.316193,-123.892105,9999,9999
510,-84.310699,-123.657303,9999,9999
511,-84.307907,-123.444504,9999,9999
512,-84.303802,-123.231705,9999,9999
513,-84.296906,-123.010696,9999,9999
514,-84.294098,-122.796494,9999,9999
515,-84.289993,-122.586502,9999,9999
516,-84.285797,-122.370895,9999,9999
517,-84.281693,-122.156693,9999,9999
518,-84.279007,-121.946899,9999,9999
519,-84.272202,-121.695801,9999,9999
520,-84.262695,-121.509399,9999,9999
521,-84.2435,-121.407898,9999,9999
522,-84.225693,-121.353195,9999,9999
523,-84.207901,-121.389206,9999,9999
524,-84.186005,-121.4608,9999,9999
525,-84.168198,-121.526993,9999,9999
526,-84.149094,-121.595901,9999,9999
527,-84.131302,-121.658005,9999,9999
528,-84.108002,-121.718597,9999,9999
529,-84.090195,-121.777893,9999,9999
530,-84.073807,-121.845398,9999,9999
531,-84.053299,-121.912994,9999,9999
532,-84.034103,-121.979202,9999,9999
533,-84.014999,-122.046707,9999,9999
534,-83.998505,-122.103195,9999,9999
535,-83.976593,-122.156998,9999,9999
536,-83.957504,-122.224503,9999,9999
537,-83.936905,-122.281204,9999,9999
538,-83.917801,-122.345901,9999,9999
539,-83.898605,-122.402496,9999,9999
540,-83.879501,-122.470001,9999,9999
541,-83.860306,-122.530701,9999,9999
542,-83.842499,-122.5858,9999,9999
543,-83.826096,-122.6492,9999,9999
544,-83.802795,-122.700302,9999,9999
545,-83.786407,-122.749893,9999,9999
546,-83.763107,-122.810593,9999,9999
547,-83.7453,-122.871307,9999,9999
548,-83.727493,-122.930496,9999,9999
549,-83.707001,-122.981598,9999,9999
550,-83.689194,-123.024399,9999,9999
551,-83.670105,-123.061707,9999,9999
552,-83.650894,-123.088104,9999,9999
553,-83.628998,-123.125397,9999,9999
554,-83.609802,-123.169495,9999,9999
555,-83.587906,-123.215103,9999,9999
556,-83.568802,-123.267502,9999,9999
557,-83.550995,-123.303406,9999,9999
558,-83.529099,-123.343506,9999,9999
559,-83.509903,-123.375305,9999,9999
560,-83.492096,-123.393402,9999,9999
561,-83.4729,-123.401794,9999,9999
562,-83.451004,-123.418503,9999,9999
563,-83.430496,-123.429703,9999,9999
564,-83.4086,-123.464203,9999,9999
565,-83.390793,-123.505707,9999,9999
566,-83.368896,-123.548492,9999,9999
567,-83.351105,-123.589905,9999,9999
568,-83.330597,-123.632706,9999,9999
569,-83.311401,-123.661697,9999,9999
570,-83.292297,-123.6922,9999,9999
571,-83.273102,-123.718506,9999,9999
572,-83.252502,-123.748901,9999,9999
573,-83.231995,-123.773804,9999,9999
574,-83.210098,-123.816605,9999,9999
575,-83.193695,-123.870407,9999,9999
576,-83.173203,-123.918701,9999,9999
577,-83.152603,-123.964203,9999,9999
578,-83.133499,-123.997406,9999,9999
579,-83.114304,-124.041504,9999,9999
580,-83.093796,-124.0569,9999,9999
581,-83.0746,-124.078995,9999,9999
582,-83.052704,-124.088898,9999,9999
583,-83.030807,-124.105499,9999,9999
584,-83.013,-124.122192,9999,9999
585,-82.9897,-124.137497,9999,9999
586,-82.971893,-124.174805,9999,9999
587,-82.952805,-124.218903,9999,9999
588,-82.932205,-124.261703,9999,9999
589,-82.914398,-124.301697,9999,9999
590,-82.892502,-124.343094,9999,9999
591,-82.870605,-124.374893,9999,9999
592,-82.851501,-124.406693,9999,9999
593,-82.830902,-124.432999,9999,9999
594,-82.810394,-124.457901,9999,9999
595,-82.789902,-124.473206,9999,9999
596,-82.769302,-124.492599,9999,9999
597,-82.750198,-124.528503,9999,9999
598,-82.728302,-124.572693,9999,9999
599,-82.707703,-124.608597,9999,9999
600,-82.685806,-124.649994,9999,9999
601,-82.665298,-124.683197,9999,9999
602,-82.643402,-124.717606,9999,9999
603,-82.625595,-124.723404,9999,9999
604,-82.602295,-124.7276,9999,9999
605,-82.581802,-124.751099,9999,9999
606,-82.559799,-124.765106,9999,9999
607,-82.540695,-124.785797,9999,9999
608,-82.5215,-124.824493,9999,9999
609,-82.498199,-124.849396,9999,9999
610,-82.477707,-124.896301,9999,9999
611,-82.457199,-124.937698,9999,9999
612,-82.4366,-124.966705,9999,9999
613,-82.414703,-124.990204,9999,9999
614,-82.394196,-125.008194,9999,9999
615,-82.372299,-125.023499,9999,9999
616,-82.3517,-125.042892,9999,9999
617,-82.328506,-125.062302,9999,9999
618,-82.307907,-125.095398,9999,9999
619,-82.284607,-125.128601,9999,9999
620,-82.264099,-125.150803,9999,9999
621,-82.242203,-125.188004,9999,9999
622,-82.221695,-125.215698,9999,9999
623,-82.201096,-125.239197,9999,9999
624,-82.180603,-125.262695,9999,9999
625,-82.158707,-125.304092,9999,9999
626,-82.136703,-125.339996,9999,9999
627,-82.113495,-125.378601,9999,9999
628,-82.092896,-125.4104,9999,9999
629,-82.072403,-125.431198,9999,9999
630,-82.049103,-125.488998,9999,9999
631,-82.034103,-125.586807,9999,9999
632,-82.021805,-125.7202,9999,9999
633,-82.013596,-125.877197,9999,9999
634,-82.016403,-126.046494,9999,9999
635,-82.021896,-126.196503,9999,9999
636,-82.024704,-126.365799,9999,9999
637,-82.030304,-126.511795,9999,9999
638,-82.033096,-126.671402,9999,9999
639,-82.0345,-126.829803,9999,9999
640,-82.033203,-126.9935,9999,9999
641,-82.037399,-127.164307,9999,9999
642,-82.040207,-127.307404,9999,9999
643,-82.044296,-127.465805,9999,9999
644,-82.047104,-127.622803,9999,9999
645,-82.052704,-127.790695,9999,9999
646,-82.0569,-127.947693,9999,9999
647,-82.0569,-128.100494,9999,9999
648,-82.058304,-128.265701,9999,9999
649,-82.0625,-128.421295,9999,9999
650,-82.0625,-128.578293,9999,9999
651,-82.066696,-128.742096,9999,9999
652,-82.072296,-128.899094,9999,9999
653,-82.076401,-129.045105,9999,9999
654,-82.083298,-129.214401,9999,9999
655,-82.087494,-129.365906,9999,9999
656,-82.091705,-129.526993,9999,9999
657,-82.093094,-129.689499,9999,9999
658,-82.097305,-129.836899,9999,9999
659,-82.102798,-129.993896,9999,9999
660,-82.105606,-130.150894,9999,9999
661,-82.111206,-130.311996,9999,9999
662,-82.115295,-130.464905,9999,9999
663,-82.120895,-130.630203,9999,9999
664,-82.129196,-130.776199,9999,9999
665,-82.133301,-130.944199,9999,9999
666,-82.137497,-131.091599,9999,9999
667,-82.141602,-131.254105,9999,9999
668,-82.144394,-131.413895,9999,9999
669,-82.145798,-131.577805,9999,9999
670,-82.148605,-131.736099,9999,9999
671,-82.154205,-131.890396,9999,9999
672,-82.154205,-132.072205,9999,9999
673,-82.154297,-132.241592,9999,9999
674,-82.154297,-132.3918,9999,9999
675,-82.154404,-132.561096,9999,9999
676,-82.157196,-132.731903,9999,9999
677,-82.1586,-132.890305,9999,9999
678,-82.161301,-133.046005,9999,9999
679,-82.1586,-133.215393,9999,9999
680,-82.158707,-133.376495,9999,9999
681,-82.158707,-133.552795,9999,9999
682,-82.161499,-133.718094,9999,9999
683,-82.162903,-133.887497,9999,9999
684,-82.164398,-134.047302,9999,9999
685,-82.167099,-134.207108,9999,9999
686,-82.164398,-134.372406,9999,9999
687,-82.167206,-134.532196,9999,9999
688,-82.167297,-134.703003,9999,9999
689,-82.167297,-134.872406,9999,9999
690,-82.167297,-135.050095,9999,9999
691,-82.167404,-135.215393,9999,9999
692,-82.167404,-135.376495,9999,9999
693,-82.167404,-135.540497,9999,9999
694,-82.167496,-135.704407,9999,9999
695,-82.1689,-135.871094,9999,9999
696,-82.1689,-136.036407,9999,9999
697,-82.170303,-136.196198,9999,9999
698,-82.169006,-136.365707,9999,9999
699,-82.169098,-136.548798,9999,9999
700,-82.170502,-136.705902,9999,9999
701,-82.171906,-136.871201,9999,9999
702,-82.171906,-137.0448,9999,9999
703,-82.173294,-137.210205,9999,9999
704,-82.171997,-137.369995,9999,9999
705,-82.171997,-137.533997,9999,9999
