CBD,LAT,LON,TCL,ICE
578,-79.2854,-142.617905,566,798
579,-79.304596,-142.631897,573,803
580,-79.322495,-142.648605,582,817
581,-79.340302,-142.665298,595,814
582,-79.359604,-142.671097,614,793
583,-79.378799,-142.682297,626,756
584,-79.397995,-142.692093,636,767
585,-79.415894,-142.711594,646,794
586,-79.437897,-142.7173,663,774
587,-79.455795,-142.7341,680,751
588,-79.476395,-142.7453,700,761
589,-79.492905,-142.766205,724,777
590,-79.5121,-142.776093,742,827
591,-79.531296,-142.791397,762,808
592,-79.550598,-142.797195,774,722
593,-79.569794,-142.811096,795,805
594,-79.589096,-142.834702,808,9999
595,-79.608307,-142.851501,820,9999
596,-79.630295,-142.860001,827,1028
597,-79.646805,-142.878098,820,1066
598,-79.667404,-142.893494,818,1058
599,-79.683899,-142.914398,810,1081
600,-79.705902,-142.925598,809,1082
601,-79.723694,-142.939606,813,1098
602,-79.742996,-142.959106,826,1087
603,-79.762207,-142.977295,834,1079
604,-79.781403,-142.992599,829,1026
605,-79.802002,-143.005295,815,1098
606,-79.819901,-143.023407,816,1023
607,-79.8405,-143.034607,820,9999
608,-79.859802,-143.054199,826,894
609,-79.878998,-143.070908,826,921
610,-79.8983,-143.0849,830,935
611,-79.917496,-143.093506,832,1011
612,-79.935303,-143.113007,838,1051
613,-79.955994,-143.125595,847,1034
614,-79.975204,-143.138199,853,1215
615,-79.995804,-143.150894,851,1261
616,-80.012299,-143.173203,847,1201
617,-80.032898,-143.185806,848,1119
618,-80.050797,-143.201202,856,1044
619,-80.070007,-143.213806,859,957
620,-80.090698,-143.225098,857,1039
621,-80.108505,-143.235001,848,1031
622,-80.130493,-143.2491,837,993
623,-80.151093,-143.264404,840,982
624,-80.169006,-143.283997,861,981
625,-80.186905,-143.302094,884,992
626,-80.207397,-143.311996,895,982
627,-80.2267,-143.324707,896,1019
628,-80.244598,-143.337296,899,1045
629,-80.265198,-143.354095,908,1011
630,-80.283005,-143.372192,909,1011
631,-80.303604,-143.383606,906,1148
632,-80.321503,-143.407196,901,9999
633,-80.342102,-143.423996,895,9999
634,-80.360001,-143.438004,886,999
635,-80.379196,-143.4534,862,967
636,-80.398407,-143.467499,848,979
637,-80.416306,-143.487,835,995
638,-80.435593,-143.501099,835,980
639,-80.4534,-143.526093,828,982
640,-80.473999,-143.554001,823,954
641,-80.494598,-143.574905,814,925
642,-80.512497,-143.591599,808,930
643,-80.531693,-143.616699,802,940
644,-80.549606,-143.632095,802,944
645,-80.567505,-143.6586,803,958
646,-80.585297,-143.683594,803,928
647,-80.606003,-143.700394,808,919
648,-80.625198,-143.728195,816,873
649,-80.644394,-143.745102,830,958
650,-80.662292,-143.774307,841,911
651,-80.681503,-143.799301,853,9999
652,-80.699402,-143.813293,860,9999
653,-80.7173,-143.834305,865,9999
654,-80.736496,-143.851105,863,1061
655,-80.755707,-143.869293,863,1066
656,-80.773605,-143.895706,865,1039
657,-80.792801,-143.915298,860,1004
658,-80.810699,-143.940399,864,963
659,-80.829895,-143.970901,862,960
660,-80.847794,-143.993301,876,906
661,-80.868393,-144.010101,880,900
662,-80.8862,-144.032394,882,881
663,-80.905502,-144.056198,879,915
664,-80.923401,-144.078506,864,909
665,-80.939804,-144.1091,855,873
666,-80.948105,-144.208298,849,881
667,-80.946701,-144.325394,861,889
668,-80.943893,-144.442505,872,890
669,-80.936996,-144.565002,876,886
670,-80.936996,-144.682098,877,866
671,-80.934204,-144.796402,882,828
672,-80.931503,-144.910706,885,853
673,-80.931503,-145.030502,881,859
674,-80.930099,-145.149002,880,850
675,-80.927307,-145.274399,879,856
676,-80.925903,-145.392807,891,815
677,-80.9245,-145.504395,898,809
678,-80.923096,-145.622803,910,801
679,-80.916306,-145.733002,915,817
680,-80.912094,-145.845901,921,796
681,-80.905197,-145.957397,927,797
682,-80.899704,-146.0634,936,813
683,-80.895599,-146.1763,940,802
684,-80.888702,-146.297394,943,822
685,-80.883194,-146.415802,942,842
686,-80.877701,-146.521896,946,842
687,-80.870804,-146.638901,949,853
688,-80.866699,-146.747696,953,9999
689,-80.861099,-146.861893,948,9999
690,-80.850098,-146.948593,950,9999
691,-80.835098,-146.930695,954,829
692,-80.8172,-146.897507,958,822
693,-80.8022,-146.857605,956,807
694,-80.783005,-146.814697,955,803
695,-80.767899,-146.777496,962,804
696,-80.751404,-146.737503,973,712
697,-80.736298,-146.701706,984,804
698,-80.718506,-146.661697,984,795
699,-80.702103,-146.628494,981,822
700,-80.684204,-146.609207,977,834
701,-80.669098,-146.581604,984,820
702,-80.649902,-146.554001,987,833
703,-80.633499,-146.526398,992,835
704,-80.615601,-146.500107,984,9999
705,-80.600601,-146.468399,983,9999
706,-80.582703,-146.440796,976,9999
707,-80.566299,-146.419998,980,9999
708,-80.548401,-146.4021,987,9999
709,-80.531998,-146.382706,993,9999
710,-80.514206,-146.359299,997,9999
711,-80.494904,-146.335693,993,9999
712,-80.479904,-146.313599,995,9999
713,-80.462006,-146.301193,992,890
714,-80.442795,-146.280396,996,867
715,-80.427704,-146.252808,995,843
716,-80.409897,-146.229294,995,861
717,-80.390701,-146.208603,996,834
718,-80.375595,-146.186493,997,847
719,-80.357803,-146.168503,1000,858
720,-80.338593,-146.154694,1007,834
721,-80.320801,-146.138,1009,699
722,-80.304306,-146.114594,1005,718
723,-80.286499,-146.091095,996,771
724,-80.270004,-146.070404,988,750
725,-80.252197,-146.044098,980,878
726,-80.234406,-146.020706,959,843
727,-80.216507,-146.008194,951,943
